"Xdistance [mm]","Ydistance [mm]","Freq [MHz]","mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
0.254,4.254,1,51.6952545045176
0.254,4.254,1.12201845430196,51.935120953299
0.254,4.254,1.25892541179417,52.2341966611607
0.254,4.254,1.41253754462275,52.6072902231916
0.254,4.254,1.58489319246111,53.0725632447716
0.254,4.254,1.77827941003892,53.6521887936148
0.254,4.254,1.99526231496888,54.3730816137435
0.254,4.254,2.23872113856834,55.2676842461915
0.254,4.254,2.51188643150958,56.3747847716208
0.254,4.254,2.81838293126445,57.740336586057
0.254,4.254,3.16227766016838,59.4182538655272
0.254,4.254,3.54813389233575,61.471175352665
0.254,4.254,3.98107170553497,63.9712312172042
0.254,4.254,4.46683592150963,67.0009177211763
0.254,4.254,5.01187233627272,70.6542813230667
0.254,4.254,5.62341325190349,75.038730616854
0.254,4.254,6.30957344480193,80.2779233189677
0.254,4.254,7.07945784384138,86.5163203576699
0.254,4.254,7.94328234724282,93.9261931279717
0.254,4.254,8.91250938133745,102.718193604165
0.254,4.254,10,113.157197930364
0.254,8.254,1,52.0485013166207
0.254,8.254,1.12201845430196,52.3648009879967
0.254,8.254,1.25892541179417,52.7631435980421
0.254,8.254,1.41253754462275,53.2631998486995
0.254,8.254,1.58489319246111,53.8888972138924
0.254,8.254,1.77827941003892,54.6691882339175
0.254,8.254,1.99526231496888,55.6388792825388
0.254,8.254,2.23872113856834,56.8394992390213
0.254,8.254,2.51188643150958,58.320191242979
0.254,8.254,2.81838293126445,60.1386273614494
0.254,8.254,3.16227766016838,62.3619820110027
0.254,8.254,3.54813389233575,65.0680605161942
0.254,8.254,3.98107170553497,68.3467658507023
0.254,8.254,4.46683592150963,72.3021975674977
0.254,8.254,5.01187233627272,77.0558122670229
0.254,8.254,5.62341325190349,82.7512486096148
0.254,8.254,6.30957344480193,89.5616755608636
0.254,8.254,7.07945784384138,97.7009518948158
0.254,8.254,7.94328234724282,107.440653675249
0.254,8.254,8.91250938133745,119.136435379172
0.254,8.254,10,133.269831477431
4.254,0.254,1,50.9881133066649
4.254,0.254,1.12201845430196,51.0317694061824
4.254,0.254,1.25892541179417,51.0783510407796
4.254,0.254,1.41253754462275,51.1288488567132
4.254,0.254,1.58489319246111,51.1847233490845
4.254,0.254,1.77827941003892,51.2479524571027
4.254,0.254,1.99526231496888,51.3210840856067
4.254,0.254,2.23872113856834,51.4073031274466
4.254,0.254,2.51188643150958,51.5105195615042
4.254,0.254,2.81838293126445,51.6354806530287
4.254,0.254,3.16227766016838,51.7879070412981
4.254,0.254,3.54813389233575,51.9746500057619
4.254,0.254,3.98107170553497,52.2038658591574
4.254,0.254,4.46683592150963,52.4852039767825
4.254,0.254,5.01187233627272,52.8300087827936
4.254,0.254,5.62341325190349,53.2515448995466
4.254,0.254,6.30957344480193,53.7652701872949
4.254,0.254,7.07945784384138,54.3892033614754
4.254,0.254,7.94328234724282,55.1444573608827
4.254,0.254,8.91250938133745,56.056027960475
4.254,0.254,10,57.1539277443207
4.254,4.254,1,51.3674506477886
4.254,4.254,1.12201845430196,51.5496263285236
4.254,4.254,1.25892541179417,51.7758555655437
4.254,4.254,1.41253754462275,52.057262164958
4.254,4.254,1.58489319246111,52.4076127504519
4.254,4.254,1.77827941003892,52.8438442900893
4.254,4.254,1.99526231496888,53.3866652462549
4.254,4.254,2.23872113856834,54.0612223126079
4.254,4.254,2.51188643150958,54.8978144871785
4.254,4.254,2.81838293126445,55.932624966373
4.254,4.254,3.16227766016838,57.2084315424349
4.254,4.254,3.54813389233575,58.7752522587615
4.254,4.254,3.98107170553497,60.6908912620652
4.254,4.254,4.46683592150963,63.0213767817126
4.254,4.254,5.01187233627272,65.8413333123788
4.254,4.254,5.62341325190349,69.2344016952211
4.254,4.254,6.30957344480193,73.2939039862685
4.254,4.254,7.07945784384138,78.1240287552162
4.254,4.254,7.94328234724282,83.8418729924303
4.254,4.254,8.91250938133745,90.580719968208
4.254,4.254,10,98.49498440483
4.254,8.254,1,51.7301553730685
4.254,8.254,1.12201845430196,52.0033207108105
4.254,8.254,1.25892541179417,52.3428859213215
4.254,8.254,1.41253754462275,52.7651971719128
4.254,8.254,1.58489319246111,53.290302821186
4.254,8.254,1.77827941003892,53.9426124854193
4.254,8.254,1.99526231496888,54.7516078386948
4.254,8.254,2.23872113856834,55.7525780196531
4.254,8.254,2.51188643150958,56.9873405333626
4.254,8.254,2.81838293126445,58.5049007718697
4.254,8.254,3.16227766016838,60.3620054604206
4.254,8.254,3.54813389233575,62.6235641050418
4.254,8.254,3.98107170553497,65.3629530898537
4.254,8.254,4.46683592150963,68.6622799224161
4.254,8.254,5.01187233627272,72.6127632145473
4.254,8.254,5.62341325190349,77.3154633092892
4.254,8.254,6.30957344480193,82.8826636455917
4.254,8.254,7.07945784384138,89.4402468147123
4.254,8.254,7.94328234724282,97.1314422292668
4.254,8.254,8.91250938133745,106.122377199192
4.254,8.254,10,116.609994751701
5.254,0.254,1,50.9942574548209
5.254,0.254,1.12201845430196,51.0375472014439
5.254,0.254,1.25892541179417,51.0850549521
5.254,0.254,1.41253754462275,51.1382952092392
5.254,0.254,1.58489319246111,51.1992860078713
5.254,0.254,1.77827941003892,51.2706103150545
5.254,0.254,1.99526231496888,51.355495841525
5.254,0.254,2.23872113856834,51.4579198738851
5.254,0.254,2.51188643150958,51.5827430644775
5.254,0.254,2.81838293126445,51.7358737984078
5.254,0.254,3.16227766016838,51.924463025626
5.254,0.254,3.54813389233575,52.1571284732669
5.254,0.254,3.98107170553497,52.444207359369
5.254,0.254,4.46683592150963,52.7980389932889
5.254,0.254,5.01187233627272,53.2332842452944
5.254,0.254,5.62341325190349,53.7672990033099
5.254,0.254,6.30957344480193,54.4205934541903
5.254,0.254,7.07945784384138,55.217425744599
5.254,0.254,7.94328234724282,56.1865910555683
5.254,0.254,8.91250938133745,57.3624666209479
5.254,0.254,10,58.7863532245107
8.254,0.254,1,50.9587014588384
8.254,0.254,1.12201845430196,51.0013234761266
8.254,0.254,1.25892541179417,51.0466343560668
8.254,0.254,1.41253754462275,51.0954091744389
8.254,0.254,1.58489319246111,51.1488675074785
8.254,0.254,1.77827941003892,51.2087232117397
8.254,0.254,1.99526231496888,51.2772323820258
8.254,0.254,2.23872113856834,51.3572495470555
8.254,0.254,2.51188643150958,51.4522998815984
8.254,0.254,2.81838293126445,51.5666716534609
8.254,0.254,3.16227766016838,51.7055294626444
8.254,0.254,3.54813389233575,51.8750458106304
8.254,0.254,3.98107170553497,52.0825467064854
8.254,0.254,4.46683592150963,52.3366671310877
8.254,0.254,5.01187233627272,52.647515505943
8.254,0.254,5.62341325190349,53.0268545786632
8.254,0.254,6.30957344480193,53.4883208855255
8.254,0.254,7.07945784384138,54.0477261121405
8.254,0.254,7.94328234724282,54.7235076491561
8.254,0.254,8.91250938133745,55.5374140870557
8.254,0.254,10,56.5155128020592
8.254,4.254,1,51.3351584136458
8.254,4.254,1.12201845430196,51.5100273683691
8.254,4.254,1.25892541179417,51.727368168826
8.254,4.254,1.41253754462275,51.9979139731757
8.254,4.254,1.58489319246111,52.3349486876596
8.254,4.254,1.77827941003892,52.75482109465
8.254,4.254,1.99526231496888,53.2775323281985
8.254,4.254,2.23872113856834,53.927389360371
8.254,4.254,2.51188643150958,54.7337072646415
8.254,4.254,2.81838293126445,55.7315317804139
8.254,4.254,3.16227766016838,56.9623433274339
8.254,4.254,3.54813389233575,58.4746981857128
8.254,4.254,3.98107170553497,60.324768030049
8.254,4.254,4.46683592150963,62.5767620432588
8.254,4.254,5.01187233627272,65.3032611223729
8.254,4.254,5.62341325190349,68.5855603101688
8.254,4.254,6.30957344480193,72.514194298835
8.254,4.254,7.07945784384138,77.1898955090504
8.254,4.254,7.94328234724282,82.7252892308238
8.254,4.254,8.91250938133745,89.247662571087
8.254,4.254,10,96.9031738682345
